"Regions","Area_ha","2013-06-06","2013-06-13","2013-06-20","2013-06-27","2013-07-04","2013-07-11","2013-07-18","2013-07-25","2013-08-01","2013-08-08","2013-08-15","2013-08-22","2013-08-29","2013-09-05"
"Noroeste",143870,0,0,0.005,0.045,0.131,0.331,0.411,0.557,0.725,0.913,0.953,0.973,1,1
"Brasnorte",51891,0,0,0.005,0.035,0.15,0.35,0.43,0.57,0.68,0.9,0.94,0.96,1,1
"Others_Noroeste",91979,0,0,0.005,0.05,0.12,0.32,0.4,0.55,0.75,0.92,0.96,0.98,1,1
"Norte",49880,0,0.005,0.01,0.064,0.165,0.356,0.586,0.729,0.772,0.9,0.944,0.983,1,1
"Itauba",14838,0,0.005,0.01,0.05,0.2,0.37,0.6,0.75,0.8,0.9,0.93,0.99,1,1
"Others_Norte",35042,0,0.005,0.01,0.07,0.15,0.35,0.58,0.72,0.76,0.9,0.95,0.98,1,1
"Nordeste",253461,0.004,0.013,0.023,0.086,0.157,0.327,0.454,0.706,0.822,0.907,0.95,0.979,1,1
"Canarana",43285,0,0.01,0.03,0.08,0.18,0.28,0.42,0.55,0.75,0.8,0.89,0.95,1,1
"Querencia",74776,0.01,0.02,0.025,0.11,0.17,0.34,0.48,0.71,0.83,0.95,0.97,0.99,1,1
"Gaucha_do_Norte",16657,0,0.01,0.015,0.06,0.12,0.35,0.45,0.85,0.9,0.99,1,1,1,1
"Nova_Xavantina",17022,0,0.01,0.015,0.06,0.12,0.35,0.45,0.8,0.85,0.95,0.96,0.98,1,1
"Others_Nordeste",101721,0.003,0.01,0.02,0.08,0.15,0.33,0.45,0.73,0.83,0.9,0.95,0.98,1,1
"Medio_Norte",1787240,0.011,0.036,0.055,0.162,0.287,0.446,0.679,0.855,0.899,0.949,0.979,0.994,1,1
"Lucas_do_Rio_Verde",209773,0.02,0.045,0.05,0.25,0.35,0.44,0.8,0.91,0.94,0.98,0.99,1,1,1
"Sorriso",569632,0.02,0.05,0.06,0.18,0.3,0.45,0.72,0.9,0.95,0.98,0.99,1,1,1
"Nova_Mutum",130024,0.015,0.035,0.05,0.1,0.25,0.45,0.6,0.82,0.85,0.9,0.96,0.98,1,1
"Ipiranga_do_Norte",128662,0,0.02,0.05,0.2,0.38,0.65,0.74,0.84,0.88,0.95,0.99,1,1,1
"Sinop",80491,0.005,0.03,0.06,0.12,0.25,0.42,0.6,0.82,0.89,0.96,0.98,1,1,1
"Tapurah",90109,0,0.02,0.06,0.2,0.35,0.55,0.7,0.87,0.95,0.99,1,1,1,1
"Santa_Rita_do_Trivelato",74300,0,0.02,0.05,0.09,0.18,0.3,0.5,0.75,0.78,0.83,0.97,0.99,1,1
"Nova_Ubirata",156180,0,0.03,0.05,0.1,0.25,0.4,0.7,0.85,0.88,0.95,0.97,0.99,1,1
"Vera",96056,0.01,0.03,0.06,0.1,0.2,0.35,0.6,0.77,0.8,0.88,0.95,0.98,1,1
"Sao_Jose_do_Rio_Claro",34671,0,0.01,0.05,0.09,0.15,0.3,0.35,0.7,0.75,0.85,0.9,0.95,0.99,1
"Others_Medio_Norte",217341,0,0.03,0.055,0.15,0.27,0.43,0.62,0.82,0.87,0.93,0.97,0.99,0.999,1
"Oeste",410918,0.009,0.029,0.042,0.093,0.224,0.358,0.473,0.636,0.75,0.846,0.919,0.983,1,1
"Sapezal",131917,0.02,0.04,0.05,0.1,0.27,0.43,0.5,0.75,0.83,0.93,0.96,0.99,1,1
"Campo_Novo_dos_Parecis",153649,0,0.02,0.03,0.08,0.2,0.3,0.45,0.52,0.68,0.77,0.89,0.98,1,1
"Campos_de_Julio",98898,0.01,0.03,0.05,0.1,0.2,0.35,0.47,0.66,0.75,0.85,0.91,0.98,1,1
"Others_Oeste",26455,0,0.03,0.045,0.1,0.23,0.36,0.48,0.645,0.75,0.85,0.92,0.98,1,1
"Centro_Sul",212678,0.002,0.012,0.027,0.067,0.168,0.259,0.378,0.562,0.701,0.816,0.905,0.965,0.998,1
"Diamantino",119140,0,0.01,0.03,0.06,0.17,0.24,0.37,0.55,0.74,0.83,0.91,0.97,1,1
"Tangara_da_Serra",39713,0.01,0.025,0.03,0.06,0.15,0.3,0.4,0.6,0.65,0.8,0.89,0.94,0.99,1
"Santo_Antonio_do_Leveger",15274,0,0.005,0.015,0.08,0.16,0.25,0.35,0.54,0.63,0.79,0.9,0.97,1,1
"Chapada_dos_Guimaraes",20405,0,0.005,0.02,0.1,0.2,0.3,0.4,0.57,0.65,0.8,0.91,0.98,1,1
"Others_Centro_Sul",18145,0.005,0.01,0.02,0.08,0.17,0.26,0.38,0.565,0.67,0.8,0.9,0.965,0.998,1
"Sudeste",742161,0.003,0.013,0.031,0.12,0.195,0.356,0.428,0.641,0.701,0.882,0.924,0.968,0.997,1
"Campo_Verde",147945,0.015,0.04,0.05,0.15,0.23,0.4,0.45,0.66,0.75,0.93,0.97,0.99,1,1
"Primavera_do_Leste",164384,0,0.02,0.04,0.1,0.15,0.33,0.4,0.67,0.7,0.88,0.94,0.96,0.99,1
"Alto_Garcas_e_Alto_Taquari",17753,0,0.01,0.02,0.12,0.22,0.37,0.45,0.65,0.68,0.78,0.9,0.95,1,1
"Jaciara_e_Juscimeira",21370,0,0,0.005,0.1,0.18,0.35,0.43,0.58,0.66,0.77,0.86,0.96,1,1
"Santo_Antonio_do_Leste",46027,0,0,0.005,0.1,0.2,0.35,0.43,0.58,0.66,0.77,0.86,0.96,1,1
"Others_Sudeste",344681,0,0,0.025,0.12,0.2,0.35,0.43,0.63,0.69,0.89,0.91,0.965,0.998,1
"Mato_Grosso",3600208,0.007,0.026,0.042,0.128,0.237,0.392,0.558,0.744,0.815,0.91,0.953,0.984,0.999,1
